id,lng,lat,name,cityname,province,count
175,114.139567,30.625302,湖北作家文献中心,武汉市,湖北省,1
176,114.730851,30.538248,鄂州市华容图书馆,鄂州市,湖北省,1
177,114.287061,30.62468,武汉地铁自助图书馆,武汉市,湖北省,1
178,114.413417,30.472721,悠贝,武汉市,湖北省,1
179,114.384972,30.457017,书小鱼共享图书馆,武汉市,湖北省,1
180,114.028936,30.529199,长江大学武汉校区图书馆,武汉市,湖北省,1
181,114.07487,30.461658,24小时自助图书馆,武汉市,湖北省,1
182,114.618256,30.456304,中国地质大学未来城校区图书馆,武汉市,湖北省,1
183,114.249247,30.613617,银河里社区电子阅览室,武汉市,湖北省,1
184,114.226563,30.580858,武汉市第十七中学24小时自助图书馆,武汉市,湖北省,1
185,114.218724,30.559278,武汉地铁自助图书馆,武汉市,湖北省,1
186,114.448756,30.490095,湖北体育职业学院电子阅览室,武汉市,湖北省,1
187,114.209566,30.565625,玫瑰西园社区图书阅览室,武汉市,湖北省,1
188,114.437738,30.464612,武汉市仪表电子学校图书馆,武汉市,湖北省,1
189,114.3241,30.357032,江夏区图书馆青少年分馆,武汉市,湖北省,1
190,114.085243,30.31216,武汉市汉南区图书馆,武汉市,湖北省,1
191,114.136971,30.675372,网安学院图书馆,武汉市,湖北省,1
192,114.132638,30.624393,武汉图书馆24小时自助图书馆(六顺路),武汉市,湖北省,1
193,114.244914,30.647235,武汉市常青树实验学校图书馆,武汉市,湖北省,1
194,114.086591,30.315518,24小时自助图书馆,武汉市,湖北省,1
195,114.330279,30.354975,公益图书馆,武汉市,湖北省,1
196,114.335981,30.344181,湖北生态工程职业技术学院网络电子阅览室,武汉市,湖北省,1
197,114.184854,30.494234,图书馆,武汉市,湖北省,1
198,114.035792,30.576862,新华书店图书馆活动展览厅,武汉市,湖北省,1
199,114.026828,30.579306,24小时自助图书馆,武汉市,湖北省,1
200,114.172892,30.499789,海豚儿童阅览室,武汉市,湖北省,1
201,114.191617,30.460247,图书·电子阅览室,武汉市,湖北省,1
202,114.092892,30.352698,24小时自助图书馆,武汉市,湖北省,1
203,114.407906,30.400612,武汉设计工程学院新图书馆,武汉市,湖北省,1
204,114.409308,30.401009,武汉设计工程学院图书馆,武汉市,湖北省,1
205,114.433917,30.398826,武汉体育学院体育科技学院图书馆,武汉市,湖北省,1
206,114.417891,30.385707,武汉纺织大学外经贸学院图书馆,武汉市,湖北省,1
207,113.838809,30.64422,汉川市图书馆,孝感市,湖北省,1
208,114.88881,30.43008,学府书店,黄冈市,湖北省,1
209,114.908332,30.432191,黄冈市图书馆,黄冈市,湖北省,1
210,114.708748,30.774193,新洲职高图书馆,武汉市,湖北省,1
211,114.801935,30.843898,新洲区图书馆,武汉市,湖北省,1
212,113.841418,30.662344,汉江书房祥和分馆,孝感市,湖北省,1
213,113.959256,30.914715,孝感市图书馆新馆,孝感市,湖北省,1
214,115.020302,30.185371,野兽国图书馆(湿地公园店),黄石市,湖北省,1
215,114.886275,30.382194,鄂州市图书馆新馆,鄂州市,湖北省,1
216,114.398968,30.371143,武昌职业学院图书馆,武汉市,湖北省,1
217,114.329365,30.357633,24小时自助图书馆,武汉市,湖北省,1
218,114.12823,30.625178,武汉警官职业学院(东西湖校区)-图书馆,武汉市,湖北省,1
219,113.914703,30.937225,湖北工程学院图书馆,孝感市,湖北省,1
220,114.558122,30.459552,豹澥图书馆,武汉市,湖北省,1
221,114.874709,30.455911,黄州区图书馆,黄冈市,湖北省,1
222,114.547797,30.713918,武汉工程职业技术学院图书馆服务部,武汉市,湖北省,1
223,114.871384,30.640239,团风县图书馆,黄冈市,湖北省,1
224,114.035892,30.576792,汉阳县图书馆,武汉市,湖北省,1
225,115.090227,30.214627,黄石港区图书馆,黄石市,湖北省,1
226,115.04375,30.196574,黄石市图书馆,黄石市,湖北省,1
227,115.068964,30.195063,绘本TAXI儿童连锁图书馆,黄石市,湖北省,1
228,114.892979,30.452147,黄冈科技职业学院图书馆,黄冈市,湖北省,1
229,114.679679,30.523932,图书馆,鄂州市,湖北省,1
230,113.774447,31.014553,云梦县图书馆,孝感市,湖北省,1
231,114.314674,29.857161,咸宁市图书馆,咸宁市,湖北省,1
232,114.974823,30.102659,大冶市图书馆,黄石市,湖北省,1
233,115.024826,30.21158,湖北理工学院图书馆,黄石市,湖北省,1
234,114.076585,30.313434,武汉市汉南区纱帽中学图书馆,武汉市,湖北省,1
235,114.084452,30.306059,武汉经济技术开发区(汉南区)文化馆图书馆纱帽街分馆,武汉市,湖北省,1
236,114.895317,30.3756,鄂州职业大学图书馆,鄂州市,湖北省,1
237,114.950784,30.176333,黄石市铜都小学-下陆图书馆,黄石市,湖北省,1
238,114.616722,31.282173,红安县图书馆,黄冈市,湖北省,1
239,114.285466,29.871492,咸宁市咸安区图书馆,咸宁市,湖北省,1
240,114.378257,30.891096,图书阅览室,武汉市,湖北省,1
241,113.931832,29.96197,湖北省嘉鱼县图书馆,咸宁市,湖北省,1
242,113.930913,30.907671,孝感市孝南区图书馆(暂停营业),孝感市,湖北省,1
243,114.974855,30.102647,大冶市图书馆,黄石市,湖北省,1
244,113.585353,30.940966,应城市图书馆,孝感市,湖北省,1
245,115.026731,30.184244,湖北工程职业学院图书馆,黄石市,湖北省,1
246,114.600983,30.833142,武汉市新洲区图书馆仓埠分馆,武汉市,湖北省,1
247,114.338183,29.848778,湖北科技学院图书馆,咸宁市,湖北省,1
248,113.993582,31.254781,孝昌县图书馆,孝感市,湖北省,1
249,113.81676,30.449217,武汉市蔡甸区侏儒街中刘村图书室,武汉市,湖北省,1
250,115.065452,30.23021,湖北师范大学图书馆,黄石市,湖北省,1
251,114.299997,30.917835,武汉图书馆·金寨村共建图书室,武汉市,湖北省,1
252,115.262945,30.463395,浠水图书馆,黄冈市,湖北省,1
253,113.454105,30.360433,仙桃市图书馆,仙桃市,湖北省,1
254,114.746108,30.371573,鄂州市东港社区残疾人励志书屋,鄂州市,湖北省,1
255,113.821633,30.219703,汉南农场螃蟹养殖协会阅览室,武汉市,湖北省,1
256,115.001084,31.163901,麻城市图书馆,黄冈市,湖北省,1
257,114.974732,31.162004,麻城法院图书馆,黄冈市,湖北省,1
258,114.519672,31.148657,李先念故居图书馆,黄冈市,湖北省,1
259,114.27122,29.865084,湖北科技学院咸安校区图书馆,咸宁市,湖北省,1
260,115.106003,30.642404,马家潭水文站图书阅览室,黄冈市,湖北省,1
261,115.090338,30.214781,黄石市图书馆(黄石市文化市场综合执法支队西北),黄石市,湖北省,1
262,111.315601,30.677392,宜昌市图书馆,宜昌市,湖北省,1
263,114.298118,31.288782,图书馆,武汉市,湖北省,1
264,113.584142,30.932734,应城市图书馆宇洋分馆,孝感市,湖北省,1
265,113.832837,30.560745,幼儿童图书馆,孝感市,湖北省,1
266,111.765947,30.174365,悠贝阅读中心(松滋玉岭花园馆),荆州市,湖北省,1
267,113.905592,29.731644,赤壁图书馆,咸宁市,湖北省,1
268,113.447661,30.359931,东壁图书所,仙桃市,湖北省,1
269,111.315403,30.72414,三峡大学图书馆,宜昌市,湖北省,1
270,112.712278,29.973282,监利东方爱婴早教中心,荆州市,湖北省,1
271,112.264447,30.328291,荆州新图书馆,荆州市,湖北省,1
272,112.152792,32.045398,城市书房(星火书房),襄阳市,湖北省,1
273,111.421864,30.402283,宜都市图书馆(新馆),宜昌市,湖北省,1
274,112.224178,32.061411,襄阳市图书馆(东津新馆),襄阳市,湖北省,1
275,110.334973,31.039648,楚天路图书馆,恩施土家族苗族自治州,湖北省,1
276,113.146882,30.990627,京山市图书馆,荆门市,湖北省,1
277,109.468683,30.266277,恩施书房(恩施州图书馆书院分馆),恩施土家族苗族自治州,湖北省,1
278,115.986898,29.752011,小书虫AI阅读馆,黄冈市,湖北省,1
279,113.141543,30.649813,天门市图书馆,天门市,湖北省,1
280,109.487936,30.275268,恩施州图书馆,恩施土家族苗族自治州,湖北省,1
281,115.956533,30.095155,黄梅县图书馆,黄冈市,湖北省,1
282,112.106032,31.996639,城市书房(营盘书房),襄阳市,湖北省,1
283,114.866494,30.643339,残疾人阅览室,黄冈市,湖北省,1
284,114.867893,30.638005,团风镇综合文化站图书室,黄冈市,湖北省,1
285,114.867953,30.638008,团风镇综合文化站图书馆,黄冈市,湖北省,1
286,113.970275,30.884051,孝南区图书馆开发区分馆,孝感市,湖北省,1
287,115.412815,30.807373,罗田县图书馆,黄冈市,湖北省,1
288,114.874071,30.449613,图书馆,黄冈市,湖北省,1
289,114.341682,31.018,武汉市少年儿童图书馆(联合村分馆),武汉市,湖北省,1
290,111.337063,30.754058,宜昌市夷陵区图书馆,宜昌市,湖北省,1
291,114.892214,30.450087,黄冈科技职业学院电子阅览室,黄冈市,湖北省,1
292,115.217653,29.869591,阳新图书馆,黄石市,湖北省,1
293,111.745369,30.164447,松滋市图书馆,荆州市,湖北省,1
294,113.776014,30.497928,汉川市图书馆南河乡分馆,孝感市,湖北省,1
295,115.421783,30.219694,蕲春县图书馆(新址),黄冈市,湖北省,1
296,112.211261,30.351309,荆州市图书馆(古城分馆),荆州市,湖北省,1
297,113.687589,31.257755,安陆图书馆,孝感市,湖北省,1
298,110.781262,32.655682,十堰市图书馆,十堰市,湖北省,1
299,114.925328,30.474814,图书馆,黄冈市,湖北省,1
300,113.922234,30.910136,孝感市文化中心图书馆,孝感市,湖北省,1
301,111.282231,30.705844,宜昌市西陵区图书馆,宜昌市,湖北省,1
302,112.107512,31.998813,襄阳市图书馆(襄城分馆),襄阳市,湖北省,1
303,112.186789,32.079196,襄州区图书馆,襄阳市,湖北省,1
304,113.923992,30.93648,孝感市孝南区图书馆,孝感市,湖北省,1
305,115.593558,29.871538,武穴市图书馆,黄冈市,湖北省,1
306,111.439138,30.541022,猇亭区图书馆,宜昌市,湖北省,1
307,113.367731,31.715213,随州市图书馆,随州市,湖北省,1
308,109.479789,30.278902,恩施市图书馆,恩施土家族苗族自治州,湖北省,1
309,112.213102,30.334289,长江大学东校区图书馆,荆州市,湖北省,1
